Index,Challenge,Answer in Latex,Answer in Sympy,Variation,Source
78,"Solve the following integral. Assume A,B,F,G,H are real and positive.

$ \int \frac{\sqrt{4 A x-5 B}+4 F x}{5 G \sqrt[4]{4 A x - 5 B} + H (4 A x - 5 B)^{3/4}}   dx $","\frac{\frac{\sqrt{H} \left(20 A^2 H^2 x+375 F G^2 \sqrt{4 A x-5 B}+5 B H \left(12 F H \sqrt{4 A x-5 B}-5 A H+25 F G\right)+A H
   \left(12 F H x \sqrt{4 A x-5 B}-75 G \sqrt{4 A x-5 B}-100 F G x\right)\right)}{\sqrt[4]{4 A x-5 B}}-75 \sqrt{5} \sqrt{G}
   \left(-A G H+B F H^2+5 F G^2\right) \tan ^{-1}\left(\frac{\sqrt{H} \sqrt[4]{4 A x-5 B}}{\sqrt{5} \sqrt{G}}\right)}{15 A^2
   H^{7/2}}",(75*sqrt(5)*sqrt(G)*(4*A*x - 5*B)**(1/4)*(A*G*H - B*F*H**2 - 5*F*G**2)*atan(sqrt(5)*sqrt(H)*(4*A*x - 5*B)**(1/4)/(5*sqrt(G))) + sqrt(H)*(20*A**2*H**2*x + A*H*(-100*F*G*x + 12*F*H*x*sqrt(4*A*x - 5*B) - 75*G*sqrt(4*A*x - 5*B)) + 5*B*H*(-5*A*H + 25*F*G + 12*F*H*sqrt(4*A*x - 5*B)) + 375*F*G**2*sqrt(4*A*x - 5*B)))/(15*A**2*H**(7/2)*(4*A*x - 5*B)**(1/4)),Symbolic,"U-Math
integral_calc
147944c5-b782-48c5-a664-d66deb92d9a7"
79,"Solve the following integral. Assume A,B,F are real and positive.

$ \int \frac{3 A \csc ^7(2 F x) \sec (2 F x)}{1 B}   dx $",-\frac{A \left(2 \csc ^6(2 F x)+3 \csc ^4(2 F x)+6 \csc ^2(2 F x)+12 (\log (\cos (2 F x))-\log (\sin (2 F x)))\right)}{8 B F},-A*(-12*log(sin(2*F*x)) + 12*log(cos(2*F*x)) + 2*csc(2*F*x)**6 + 3*csc(2*F*x)**4 + 6*csc(2*F*x)**2)/(8*B*F),Symbolic,"U-Math
integral_calc
1db212f0-2fac-410d-969d-fe3b5b55d076"
80,"Solve the following integral. Assume A,F are real and positive.

$ \int A \csc^5 (8 F x)   dx $","-\frac{A \left(\csc ^4(4 F x)+6 \csc ^2(4 F x)-\sec ^4(4 F x)-6 \sec ^2(4 F x)+24 (\log (\cos (4 F x))-\log (\sin (4 F
   x)))\right)}{512 F}",-A*(-24*log(sin(4*F*x)) + 24*log(cos(4*F*x)) + csc(4*F*x)**4 + 6*csc(4*F*x)**2 - sec(4*F*x)**4 - 6*sec(4*F*x)**2)/(512*F),Symbolic,"U-Math
integral_calc
275f7ceb-f331-4a3f-96ec-346e6d81b32a"
81,"Solve the following integral. Assume A,B,F are real and positive.

$ \int \cos (2 F x) \left(A (F x)^3+3 B \right)   dx $",\frac{2 \sin (2 F x) \left(A F x \left(2 F^2 x^2-3\right)+6 B\right)+3 A \left(2 F^2 x^2-1\right) \cos (2 F x)}{8 F},((2*A*F*x*(2*F**2*x**2 - 3) + 12*B)*sin(2*F*x) + 3*A*(2*F**2*x**2 - 1)*cos(2*F*x))/(8*F),Symbolic,"U-Math
integral_calc
47a11349-0386-4969-9263-d3cdfcc98cb9"
82,"Use factoring to calculate the following limit.
Assume A,B,F are real and positive.
$ \lim_{x \rightarrow K} \frac{(F x)^{4 B} - K^{4 B}}{A \left((F x)^{5 B}- K^{5 B}\right)} $",\frac{4 K^{-B}}{5 A},4/(5*A*K**B),Symbolic,"UGMathBench
Calculus_-_single_variable_0016"
83,"Calculate the following limit.
Assume A,B,F are real and positive.
$ \frac{1 B - B \cos (10 F x)}{A \cos ^2(6 F x) - 1 A} $",-\frac{25 B}{18 A},-25*B/(18*A),Symbolic,"UGMathBench
Calculus_-_single_variable_0022"
84,"Calculate the following limit.
Assume A,B,F are real and positive.
$ \frac{A (F x)^2+11 A F x - 12 A}{B \log (F x)} $",\frac{13 A}{B},13*A/B,Symbolic,"UGMathBench
Calculus_-_single_variable_0508"
85,"Calculate the following limit.
Assume A,F are real and A>1.

$ \lim\limits_{x\to+\infty} 4^{-\frac{1}{F x}} \left(\frac{(4 A)^{F x} + (6 A)^{F x} }{1 A}\right)^{\frac{1}{F x}} $",6 A,6*A,Symbolic,"UGMathBench
Calculus_-_single_variable_0512"
86,"Calculate the following integral. 
Assume A,B, F are real and positive.
$\int_{2 B}^{\infty} 3 A (F x)^2 e^{- (F x)^3}  dx=$",\frac{A e^{-8 B^3 F^3}}{F},A/(F*e**(8*B**3*F**3)),Symbolic,"UGMathBench
Calculus_-_single_variable_0592"
87,"Evaluate the indefinite integral. 
Assume A, F are real and positive.
$\int A \tan ^3(F x) \sec ^9(F x)   dx$",\frac{A \sec ^9(F x) \left(9 \sec ^2(F x)-11\right)}{99 F},A*(9*sec(F*x)**2 - 11)*sec(F*x)**9/(99*F),Symbolic,"UGMathBench
Calculus_-_single_variable_0604"
88,"Evaluate the indefinite integral.
Assume A, F are real and positive.
$\int 208 A \cos ^4(16 F x)  dx$",\frac{13 A (192 F x+8 \sin (32 F x)+\sin (64 F x))}{32 F},13*A*(192*F*x + 8*sin(32*F*x) + sin(64*F*x))/(32*F),Symbolic,"UGMathBench
Calculus_-_single_variable_0606"
89,"Evaluate the integral.
Assume A, B, F, G are real and positive.
$ \int \frac{-38 A+10 B (F x)^2-48 F G x}{(F x)^3-5 (F x)^2-8 F x+48} dx $",\frac{2 \left(\frac{7 (19 A-80 B+96 G)}{F x-4}+(19 A+200 B-72 G) \log (4-F x)+(-19 A+45 B+72 G) \log (F x+3)\right)}{49 F},2*(133*A - 560*B + 672*G + (F*x - 4)*((-19*A + 45*B + 72*G)*log(F*x + 3) + (19*A + 200*B - 72*G)*log(-F*x + 4)))/(49*F*(F*x - 4)),Symbolic,"UGMathBench
Calculus_-_single_variable_0612"
90,"Evaluate the integral.
Assume A,B,F are real and positive.
$ \int A e^{F x} \sqrt{64 B-e^{2 F x}} \;dx$",\frac{A \left(e^{F x} \sqrt{64 B-e^{2 F x}}+64 B \tan ^{-1}\left(\frac{e^{F x}}{\sqrt{64 B-e^{2 F x}}}\right)\right)}{2 F},A*(64*B*atan(e**(F*x)/sqrt(64*B - e**(2*F*x))) + e**(F*x)*sqrt(64*B - e**(2*F*x)))/(2*F),Symbolic,"UGMathBench
Calculus_-_single_variable_0624"
91,"Evaluate the following limit.
Assume A,B,F are real and positive.
$\lim_{x \to 0} \frac{-\frac{9}{2} (1 B)^2 (F x)^6+3 B F^3 x^3+e^{-3 B (F x)^3}-1}{12 A (F x)^9} $",-\frac{3 B^3}{8 A},-3*B**3/(8*A),Symbolic,"UGMathBench
Calculus_-_single_variable_0939"
92,"Solve the following first-order differential equation:
Assume A,B,F,G are real and positive.
$ A y'(x)+2 B y(x)=F e^{-x}, \quad y(0)=1 G.$","\frac {e^{-\frac{2 B x}{A}} \left(F \left(-e^{x \left(\frac{2 B}{A}-1\right)}\right)+A G-2 B
   G+F\right)}{A-2 B}",(A*G - 2*B*G + F + F*(-e**x*((-A + 2*B)/A)))/(e**(2*B*x/A)*(A - 2*B)),Symbolic,"MathOdyssey
Problem 340 from Differential Equations - College Math"
93,"Consider the differential equation 
$A y'(x)=B x y(x)$. 
Find the value of $y(\sqrt{2})$ given that $y(0) = 2 F$.
Assume A,B,F are real and positive.",2 F e^{\frac{B}{A}},2*F*e**(B/A),Symbolic,"MathOdyssey
Problem 339 from Differential Equations - College Math"
94,"Evaluate the following limit:
$ \lim_{x \to \infty} \sqrt{-(1 B) + H (F x)^2 + 2 F G x}-\sqrt{3 A + H (F x)^2} .$
Assume A,B,F,G,H are real and positive.",\frac{G}{\sqrt{H}},G/sqrt(H),Symbolic,"MathOdyssey
Problem 315 from Calculus and Analysis - College Math"
95,"Evaluate $\lim\limits_{x\to \frac{4 B}{1 F}} \frac{A (F x - 4 B)}{\sqrt{F x}-2 \sqrt{1 B}} $.

Assume A,B,F are real and positive.",4 A \sqrt{B},4*A*sqrt(B),Symbolic,"MathOdyssey
Problem 317 from Calculus and Analysis - College Math"
96,"Evaluate $\int_0^(4 B)  (2 A x - \sqrt{(4 B F)^2 - (F x)^2}) dx$.

Assume A,B,F are real and positive.",\frac{1}{4} B^2 (4 A-\pi  F),B**2*(A - F*pi/4),Symbolic,"MathOdyssey
Problem 325 from Calculus and Analysis - College Math"
97,"Evaluate the series $\sum\limits_{x=1}^\infty \frac{1 A}{B (1 F + x) (1 F+x+2)} $.

Assume A,B,F are real and positive.",\frac{A (2 F+3)}{2 B (F+1) (F+2)},A*(2*F + 3)/(2*(F + 2)*B*(F + 1)),Symbolic,"MathOdyssey
Problem 326 from Calculus and Analysis - College Math"
98,"Evaluate the limit $\lim\limits_{x \to 0} \frac{(A x+1)^{\frac{1}{A x}}-e}{B x} $.

Assume A,B are real and positive.",-\frac{e A}{2 B},-A*e/(2*B),Symbolic,"MathOdyssey
Problem 327 from Calculus and Analysis - College Math"
99,"Evaluate the series $\sum\limits_{n=0}^\infty \frac{ \left(\frac{1}{2 B}\right)^{A (2 n+1)}}{F (2 n+1)} $.

Assume A,B,F are real and positive.",\frac{\tanh ^{-1}\left(2^{-A} \left(\frac{1}{B}\right)^A\right)}{F},atanh((1/(2*B))**A)/F,Symbolic,"MathOdyssey
Problem 328 from Calculus and Analysis - College Math"
100,"Evaluate the limit
$\lim\limits_{n\to\infty}\sum\limits_{k=0}^{n-1}\frac{1 A}{B \sqrt{F n^2-k^2}}$

Assume A,B, $F \ge 1$ are real and positive.",\frac{A}{B} \arcsin\left(\frac{1}{\sqrt{F}}\right),A*asin(1/sqrt(F))/B,Symbolic,"MathOdyssey
Problem 329 from Calculus and Analysis - College Math"
101,"Evaluate the iterated integral $\int_0^1dy\int_y^1 e^{-A (F x)^2}+B e^{F x} dx$.

Assume A,B,F are real and positive.",\frac{2 A B \left(e^F (F-1)+1\right)-e^{-A F^2}+1}{2 A F^2},(e**(A*F**2)*(2*A*B*(e**F*(F - 1) + 1) + 1) - 1)/(2*A*F**2*e**(A*F**2)),Symbolic,"MathOdyssey
Problem 336 from Calculus and Analysis - College Math"
102,"What is the integral of $ 2 A x-B x^{7 F} \tan ^{-1}(3 G) $

Assume A,B,F,G are real and positive.",x \left(A x-\frac{B x^{7 F} \tan ^{-1}(3 G)}{7 F+1}\right),x*((A*x*(7*F + 1) - B*x**(7*F)*atan(3*G))/(7*F + 1)),Symbolic,"GHOSTS 
Symbolic Integration
Q97"
103,"What is the integral of
$ (1 A) + B F x + \cosh (2 G) (F x)^{3 H} $

Assume A,B,F,G,H are real and positive.",A x+\frac{1}{2} B F x^2+\frac{x \cosh (2 G) (F x)^{3 H}}{3 H+1},x*(2*(F*x)**(3*H)*cosh(2*G) + (2*A + B*F*x)*(3*H + 1))/(2*(3*H + 1)),Symbolic,"GHOSTS 
Symbolic Integration
Q98"
104,"What is the integral of $12 A+6 B \cosh (F x)$

Assume A,B,F are real and positive.",12 A x+\frac{6 B \sinh (F x)}{F},12*A*x + 6*B*sinh(F*x)/F,Symbolic,"GHOSTS 
Symbolic Integration
Q90"
105,"What is the integral of 
$ 4 (B x)^{7 F}+G \sin ((1 H)+A x) $

Assume A,B,F,G,H are real and positive.",\frac{4 A x (B x)^{7 F}-(7 F+1) G \cos (H+A x)}{7 F A+A},(4*A*x*(B*x)**(7*F) - G*(7*F + 1)*cos(H + A*x))/(A*(7*F + 1)),Symbolic,"GHOSTS 
Symbolic Integration
Q14"
106,"What is the integral of
$ 2 x+2 B x^{2 F}+\frac{x}{G x+H x e^{A x}} $.

Assume A,B,F,G,H are real and positive.","x \left(x+\frac{2 B x^{2 F}}{2 F+1}\right)-\frac{\log \left(G A \left(G+H e^{A x}\right)\right)}{G A}+\frac{\log \left(e^{A
   x}\right)}{G A}",(G*A*x*((x*(2*F + 1) + 2*B*x**(2*F))/(2*F + 1)) + log(e**(A*x)) - log(G*A*(G + H*e**(A*x))))/(G*A),Symbolic,"GHOSTS 
Symbolic Integration
Q7"
107,"What is the integral of 
$ B \log (3 H x) \cos (F \log (\sin (3)))-A x $

Assume A,B,F,H are real and positive.",B x (\log (3 H x)-1) \cos (F \log (\sin (3)))-\frac{A x^2}{2},-A*x**2/2 + B*x*(log(3*H*x) - 1)*cos(F*log(sin(3))),Symbolic,"GHOSTS 
Symbolic Integration
Q15"
108,"What is the integral of
$ 3 A x - 4 B (H x)^2 \cos (F x+3 G) $

Assume A,B,F,G,H are real and positive.",\frac{3 A x^2}{2}-\frac{8 B H^2 x \cos (F x+3 G)}{F^2}-\frac{4 B H^2 \left(F^2 x^2-2\right) \sin (F x+3 G)}{F^3},(3*A*F**3*x**2 - 16*B*F*H**2*x*cos(F*x + 3*G) - 8*B*H**2*(F**2*x**2 - 2)*sin(F*x + 3*G))/(2*F**3),Symbolic,"GHOSTS 
Symbolic Integration
Q18"
109,"What is the integral of 
$ A \tan ^{-1}(B x)+F \log (G \tanh (3 H))-3 $

Assume A,B,F,G,H are real and positive.",-\frac{A \log \left(B^2 x^2+1\right)}{2 B}+A x \tan ^{-1}(B x)+x (F \log (G \tanh (3 H))-3),A*x*atan(B*x) - A*log(B**2*x**2 + 1)/(2*B) + x*(F*log(G*tanh(3*H)) - 3),Symbolic,"GHOSTS 
Symbolic Integration
Q20"
110,"What is the integral of
$ A (F x+4 G) (3 F x+4 G) e^{B x (F x+4 G)^2} $

Assume A,B,F,G are real and positive.",\frac{A e^{B x (F x+4 G)^2}}{B},A*e**(B*x*(F*x + 4*G)**2)/B,Symbolic,"GHOSTS 
Symbolic Integration
Q22"
111,"What is the integral of

$ -A e^{3 B x} \sin \left(F e^{3 B x}\right) $

Assume A,B,F are real and positive.",\frac{A \cos \left(F e^{3 B x}\right)}{3 B F},A*cos(F*e**(3*B*x))/(3*B*F),Symbolic,"GHOSTS 
Symbolic Integration
Q29"
112,"If $\log_{2 A} x - 2 F \log _{2 A} y=2 B$, determine $y$, as a function of $x$

Assume A,B,F are real and positive.",e^{\frac{2 F \log (2 A) \log (x)}{\log (2 A)-2 B \log(x)}},e**(-2*F*log(2*A)*log(x)/(2*B*log(x) - log(2*A))),Symbolic,"OlympiadBench
oe_to_maths_en_comp
2498"
113,"If $f(x)=2 A x+ (1 B)$ and $g(f(x)) = 4 F x^{2}+ (1 G)$, determine an expression for $g(x)$.",\frac{F (x-B)^2}{A^2}+G,G + F*(-B + x)**2/A**2,Symbolic,"OlympicArena
Math_1381"
114,"Solve the following integral. Assume A,B,F are real and B>0.

$\int_0^{\frac{\pi}{2 F}} \frac{A x \sin(2 F x)}{(1 B) + \cos^2(2 F x)}   dx$",\frac{A\pi}{4F^2\sqrt{B}} \arctan\!\frac{1}{\sqrt{B}},A*pi*atan(1/sqrt(B))/(4*sqrt(B)*F**2),Symbolic,OBMU 2019 - Q21
115,"Solve the following integral. Assume A,B,F,G are real and positive.

$\int_{1}^{2} \frac{A e^{F x} (F x-1)}{F x \left(B e^{F x}+F G x\right)}   dx$ ",-\frac{A \log \left(\frac{2 (e B+G)}{e^2 B+2 G}\right)}{B F},"-A*log((2*(B*e + G))/(B*e**2 + 2*G), E)/(B*F)",Symbolic,OBMU 2019 - Q18
116,"Solve the following integral. Assume A,B,F are real and positive.

Solve the following integral:
$\int_{0}^{\pi} A \log(B (\sin(x))^{1 F})   dx$",A \pi \log\left(\frac{B}{2^F}\right),"A*(pi*log(B/(2**F), E))",Symbolic ,OBMU 2019 - Q22
117,"Evaluate the following hypergeometric function. Assume the parameters: A,B are real numbers. Return a closed-form symbolic answer.

$ {}_2F_1\left( \begin{array}{c} 1 ,1 \\ 2 \end{array}; (-A)^B \right) $",-(-A)^{-B} \log \left(1-(-A)^B\right),"log(1 - (-A)**B, E)/((-A)**B)",Symbolic ,"ASyMOB
Hypergeometrics
Q1"
118,"Evaluate the following hypergeometric function. Assume the parameters: A,B are real numbers. Return a closed-form symbolic answer.

$ {}_2F_1\left( \begin{array}{c} 1 ,1 \\ 3 \end{array}; -2 \cdot (A^B) \right) $","\frac{1}{2} A^{-2 B} \left(\left(2 A^B+1\right) \log \left(2 A^B+1\right)-2
   A^B\right)","(-2*(A**B) + (2*(A**B) + 1)*log(2*(A**B) + 1, E))/(2*(A**B)**2)",Symbolic ,"ASyMOB
Hypergeometrics
Q2"
119,"Evaluate the following hypergeometric function. Assume the parameters: A,B,G,H are real numbers. Return a closed-form symbolic answer.

$ {}_8F_7\left( \begin{array}{c} 1,1,1, (1 A), (1 B), 1, (1 G), (1 H) \\ 2,2, (1 H), (1 G), (1 B), 1, (1 A) \end{array}; -1 \right) $",\frac{\pi ^2}{12},pi**2/12,Symbolic ,"ASyMOB
Hypergeometrics
Q3"
120,"Evaluate the following hypergeometric function. Assume the parameters: x,A,B,G,H are real numbers. Return a closed-form symbolic answer.

$ {}_3F_2\left( \begin{array}{c} -1,-A, -B \\ -H, -G \end{array}; x \right) $",1-\frac{A B x}{H G},1 - A*(B*x)/(H*G),Symbolic ,"ASyMOB
Hypergeometrics
Q4"
121,"Solve the following integral. Assume the parameters: A,B,F are real numbers. Return a closed-form symbolic answer.

$ \int \frac{ 1 A }{ 1 B + (x F)^3 }   dx $","-\frac{A \left(\log \left(B^{2/3}-\sqrt[3]{B} F x+F^2 x^2\right)-2 \log \left(\sqrt[3]{B}+F x\right)+2 \sqrt{3} \tan
   ^{-1}\left(\frac{1-\frac{2 F x}{\sqrt[3]{B}}}{\sqrt{3}}\right)\right)}{6 B^{2/3} F}",-A*(-2*log(B**(1/3) + F*x) + log(B**(2/3) - B**(1/3)*F*x + F**2*x**2) + 2*sqrt(3)*atan(sqrt(3)*(B**(1/3) - 2*F*x)/(3*B**(1/3))))/(6*B**(2/3)*F),Symbolic ,"ASyMOB
Hypergeometrics
Q5"
122,"Solve the following integral. Assume A,B are positive integers.

$ \int \frac{(4 A + (4 A - (1 B))x^{1 B})x^{2 A - 1}}{2 (1 + x^{1 B} + x^{4 A})\sqrt{1 + x^{1 B}}} dx $",\tan ^{-1}\left(\frac{\left x^A}{\sqrt{x^B+1}}\right),atan(x**A/(sqrt(x**B + 1))),Symbolic ,"ASyMOB
Hypergeometrics
Q6"
